대여대여소명,반납대여소명,이용,이용시간(분),이용거리(M),대여대여소위도,대여대여소경도,대여대여소구명,반납대여소위도,반납대여소경도,반납대여소구명
 여의나루역 1번출구 앞, 월드컵경기장역 3번출구 옆,1,55.0,13850.0,37.526989,126.932098,영등포구,37.570721,126.898979,마포구
 여의나루역 1번출구 앞, 유진투자증권빌딩 앞,3,5.666666666666667,980.0,37.526989,126.932098,영등포구,37.524612,126.927834,영등포구
 여의나루역 1번출구 앞, 증권거래소 앞,14,3.0,875.0,37.526989,126.932098,영등포구,37.523277,126.92923700000001,영등포구
 여의나루역 1번출구 앞, 증권거래소후문교차로,1,4.0,840.0,37.526989,126.932098,영등포구,37.522343,126.92710100000001,영등포구
 여의나루역 1번출구 앞, 진미파라곤 앞,1,8.0,1310.0,37.526989,126.932098,영등포구,37.531239,126.921333,영등포구
 여의나루역 1번출구 앞, 진주아파트상가 앞,6,11.166666666666666,1613.3333333333333,37.526989,126.932098,영등포구,37.519314,126.933167,영등포구
 여의나루역 1번출구 앞, 초원아파트 앞,4,38.5,4882.5,37.526989,126.932098,영등포구,37.531055,126.92421000000002,영등포구
 여의나루역 1번출구 앞, 한남 유수지 복개주차장,2,45.5,10205.0,37.526989,126.932098,영등포구,37.530167,127.00743899999999,용산구
 여의나루역 1번출구 앞, 합정역 7번출구 앞,1,29.0,7400.0,37.526989,126.932098,영등포구,37.548645,126.91282700000001,마포구
 여의나루역 1번출구 앞, 홍대입구역 2번출구 앞,1,59.0,7890.0,37.526989,126.932098,영등포구,37.557499,126.923805,마포구
